name,group,type,value_set,format,possible_if,db_required,neris_core_if,neris_core_app,neris_core_cad,computed,computed_from,cardinality,map_orm_landing,map_app,definition,example,comments,api_class,NERIS Validation Range,NIEM Definition
unit_id_linked,unit_response,Text,TRUE,See unit.neris_id,UnitHist.cad_designation,FALSE,,TRUE,TRUE,FALSE,UnitHist.cad_designation_1,Single,unit_response.neris_id_unit,,Name of the unit responding to the incident in FD Spec.,"A702, PA711, E731",Unit maps to Core Department Spec,Dispatch Values,Valid unit number from Core Data Spec,"<xs:element ref=""em:ServiceCallAssignedUnit"">"
unit_id_reported,unit_response,Text,FALSE,String of 255 max characters,,FALSE,If not in UnitHist.cad_designation,FALSE,FALSE,FALSE,,Single,unit_response.reported_id_unit,,Name of the unit responding to the incident if not in FD Spec.,"A702, PA711, E731",,Dispatch Values,,
unit_staffing_reported,unit_response,Integer,FALSE,,,FALSE,,TRUE,FALSE,FALSE,,Single,unit_response.staffing,,On-scene staffing of unit.,4,On a per unit basis. Seeded from department spec. This can be from dispatch or computed in incident schema,Dispatch Values,,
unit_dispatch_point,unit_response,Point,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,Single,geo_point joined via nuid_geo_point,,WGS84 latitude and longitude of unit.,"42.548054, -77.840575",On a per unit basis,Dispatch Values,Valid latitude within XX miles of department boundary,nc:GeographicCoordinateLatitude
time_dispatch,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,TRUE,TRUE,FALSE,,Single,unit_response.time_dispatch,,Timestamp that the unit is dispatched.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,
time_enroute_to_scene,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,TRUE,TRUE,FALSE,,Single,unit_response.time_enroute_to_scene,,Timestamp that the unit goes enroute to scene of the incident.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,"<xs:enumeration value=""En-route"">|<xs:element ref=""em:DepartureDateTime"">"
time_on_scene,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,TRUE,TRUE,FALSE,,Single,unit_response.time_on_scene,,Timestamp that the unit arrived on scene.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,"<xs:enumeration value=""On Scene"">|<xs:element ref=""em:ArrivalDateTime"">"
time_canceled_enroute,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,FALSE,FALSE,FALSE,,Single,unit_response.time_canceled_enroute,,Timestamp for units that were canceled prior to arrival.,2024-05-03T18:56:58+00:00,On a per unit basis: Required if any units are cancelled en-route. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_staging,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,FALSE,FALSE,FALSE,,Single,unit_response.time_staging,,Timestamp that the unit stages on scene.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.","<xs:enumeration value=""Staging"">"
time_at_patient,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_at_patient,,Timestamp that the provider reaches the patient's side.,2024-05-03T18:56:58+00:00,On a per unit bais: If more than one patient. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_enroute_hospital,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_enroute_hospital,,Timestamp that the unit statuses enroute to the hospital.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_arrived_hospital,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_arrived_hospital,,Timestamp that the unit arrives at the hospital.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
hospital_destination,unit_response.med,Text,FALSE,String of 255 max characters,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.hospital_destination,,Name of the hospital where the patient is transported.,University of Maryland Capital Regional Medical Center,If medical,Timestamps,May be null. Either valid timestamp.,
time_transfer_to_agency,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_transfer_to_agency,,Timestamp that the provider transfers care to a transporting agency.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_transfer_to_facility,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_transfer_to_facility,,Timestamp that the provider transfers care to a hospital or facility.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_hospital_clear,unit_response.med.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,med_response.time_hospital_clear,,Timestamp that the unit clears the hospital.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_unit_clear,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,TRUE,FALSE,FALSE,,Single,unit_response.time_unit_clear,,Timestamp that the unit clears the incident.,2024-05-03T18:56:58+00:00,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,
time_incident_clear,unit_response.time,Datetime (UTC),FALSE,An ISO 8601 formatted datetime string with offset.,,FALSE,,TRUE,TRUE,FALSE,,Single,unit_response.time_incident_clear,,Timestamp when dispatch closes incident.,2024-05-03T18:56:58+00:00,,Timestamps,Must not be null. Either valid timestamp.,
time_turnout,unit_response.time.computed,Time Delta,FALSE,An ISO 8601 formatted duration.,,FALSE,,FALSE,FALSE,TRUE,Subtraction,Single,unit_response.time_dispatch - unit_response.time_enroute_to_scene,,Time between dispatch time and en-route time.,PT12H30M5S,On a per unit basis: enroute_time - dispatch_time,Computed Times,,
time_travel,unit_response.time.computed,Time Delta,FALSE,An ISO 8601 formatted duration.,,FALSE,,FALSE,FALSE,TRUE,Subtraction,Single,unit_response.time_enroute_to_scene - unit_reponse.time_on_scene,,Time between en route time and on scene time.,PT12H30M5S,On a per unit basis: onscene_time - enroute_time,Computed Times,,
