value,active,value_1,value_2,description_1,description_2,definition,source,NFIRS Crosswalk
AGRICULTURE_STRUCT: STORAGE_SILO,True,AGRICULTURE_STRUCT,STORAGE_SILO,Agriculture Structure,Crop or Product Storage / Silo,,,816
AGRICULTURE_STRUCT: FARM_BUILDING,True,AGRICULTURE_STRUCT,FARM_BUILDING,Agriculture Structure,Farm (Building),,,
AGRICULTURE_STRUCT: AUCTION_FEEDLOT,True,AGRICULTURE_STRUCT,AUCTION_FEEDLOT,Agriculture Structure,Auction / Feedlot,,,
AGRICULTURE_STRUCT: ANIMAL_PROCESSING,True,AGRICULTURE_STRUCT,ANIMAL_PROCESSING,Agriculture Structure,Animal Processing,,,659
AGRICULTURE_STRUCT: VETERINARY_LIVESTOCK,True,AGRICULTURE_STRUCT,VETERINARY_LIVESTOCK,Agriculture Structure,Veterinary (Livestock),,,819
ASSEMBLY: COMMUNITY_CENTER,True,ASSEMBLY,COMMUNITY_CENTER,Assembly,Community Center,,,116
ASSEMBLY: CONVENTION_CENTER,True,ASSEMBLY,CONVENTION_CENTER,Assembly,Convention Center,,,122
ASSEMBLY: INDOOR_ARENA,True,ASSEMBLY,INDOOR_ARENA,Assembly,Indoor Arena,,,"123, 182"
ASSEMBLY: OUTDOOR_ARENA_AMPHITHEATER_PARK,True,ASSEMBLY,MUSEUM_EXHIBIT_HALL_LIBRARY,Assembly,Outdoor Arena / Amphitheater / Amusement Park,,,"152, 151"
ASSEMBLY: TEMP_OUTDOOR_STRUCT_EVENT,True,ASSEMBLY,TEMP_OUTDOOR_STRUCT_EVENT,Assembly,Temporary Outdoor Structure / Event,,,"152, 151"
ASSEMBLY: RELIGIOUS,True,ASSEMBLY,RELIGIOUS,Assembly,Religious,,,"130, 131, 134"
ASSEMBLY: MUSEUM_EXHIBIT_HALL_LIBRARY,True,ASSEMBLY,MUSEUM_EXHIBIT_HALL_LIBRARY,Assembly,Museum / Exhibit Hall / Library,,,"152, 151"
COMMERCIAL: ENTERTAINMENT_RECREATION,True,COMMERCIAL,ENTERTAINMENT_RECREATION,Commercial,Entertainment and Recreation,,,"111, 112, 113, 114, 115, 116, 120, 121, 129, 140, 141, 142, 144"
COMMERCIAL: RESTAURANT_CAFE,True,COMMERCIAL,RESTAURANT_CAFE,Commercial,Restaurant / Cafe,,,"519, 142, 160, 161"
COMMERCIAL: BAR_NIGHTCLUB,True,COMMERCIAL,BAR_NIGHTCLUB,Commercial,Bar / Nightclub,,,162
COMMERCIAL: OFFICE_OTHER_TECHNICAL_SERVICES,True,COMMERCIAL,OFFICE_OTHER_TECHNICAL_SERVICES,Commercial,Office / Other Technical Services,,,"599, 596, 593, 635, 639,"
COMMERCIAL: RETAIL_WHOLESALE_TRADE,True,COMMERCIAL,RETAIL_WHOLESALE_TRADE,Commercial,Retail / Wholesale / Trade,,,"500, 511, 519, 529, 539, 549, 557, 559, 564, 569, 580, 581, 592"
COMMERCIAL: THEATERS_STUDIO,True,COMMERCIAL,THEATERS_STUDIO,Commercial,Theaters/Studio,,,"180, 181, 182, 183, 185, 186"
COMMERCIAL: VEHICLE_REPAIR_SERVICES,True,COMMERCIAL,VEHICLE_REPAIR_SERVICES,Commercial,Vehicle Repair Services,,,"579, 579"
COMMERCIAL: VEHICLE_FUELING_CHARGING_STATION,True,COMMERCIAL,VEHICLE_FUELING_CHARGING_STATION,Commercial,Vehicle Fueling / Charging Station,,,571
COMMERCIAL: VETERINARY_PET ,True,COMMERCIAL,VETERINARY_PET ,Commercial,Veterinary (Pet),,,300
EDUCATION: COLLEGES_UNIVERSITIES,True,EDUCATION,COLLEGES_UNIVERSITIES,Education,Colleges/Universities,,,241
EDUCATION: OTHER_EDUCATIONAL_BUILDINGS,True,EDUCATION,OTHER_EDUCATIONAL_BUILDINGS,Education,Other Educational Buildings,,,"200, 210"
EDUCATION: PREK_DAYCARE,True,EDUCATION,PREK_DAYCARE,Education,Pre-K / Day Care,,,"211, 250, 254, 255, 256"
EDUCATION: K_12_SCHOOLS,True,EDUCATION,K_12_SCHOOLS,Education,K - 12 Schools,,,"213, 215"
GOVERNMENT: POLICE_EMERGENCY_STATION,True,GOVERNMENT,POLICE_EMERGENCY_STATION,Government,Police Station / Emergency Response,,,365
GOVERNMENT: FIRE_MEDICAL_STATION,True,GOVERNMENT,FIRE_MEDICAL_STATION,Government,Fire Station / Medical Response Station,,,888
GOVERNMENT: JAIL_PRISON_REFORMATORY,True,GOVERNMENT,JAIL_PRISON_REFORMATORY,Government,Jail / Prison / Reformatory / Incarceration ,,,"361, 363"
GOVERNMENT: GENERAL_SERVICES,True,GOVERNMENT,GENERAL_SERVICES,Government,General Services,,,"150, 155"
GOVERNMENT: NON_CIVILIAN_STRUCTURES,True,GOVERNMENT,NON_CIVILIAN_STRUCTURES,Government,"Non-Civilian Structures (Defense, Military)",,,631
INDUSTRIAL: CHEMICAL,True,INDUSTRIAL,CHEMICAL,Industrial,Chemical,,,
INDUSTRIAL: COLD_STORAGE,True,INDUSTRIAL,COLD_STORAGE,Industrial,Cold Storage,,,
INDUSTRIAL: FOOD_DRUGS,True,INDUSTRIAL,FOOD_DRUGS,Industrial,Food / Drugs,,,
INDUSTRIAL: HEAVY,True,INDUSTRIAL,HEAVY,Industrial,Heavy ,,,
INDUSTRIAL: LIGHT,True,INDUSTRIAL,LIGHT,Industrial,Light,,,700
INDUSTRIAL: METALS_MINERALS_PROCESSING,True,INDUSTRIAL,METALS_MINERALS_PROCESSING,Industrial,Metals/Minerals Processing,,,
HEALTH_CARE: MEDICAL_OFFICE_CLINIC,True,HEALTH_CARE,MEDICAL_OFFICE_CLINIC,Health Care,Medical Office/Clinic,,,"340, 341, 342"
HEALTH_CARE: HOSPITAL_24_HOUR_MEDICAL_FACILITIES ,True,HEALTH_CARE,HOSPITAL_24_HOUR_MEDICAL_FACILITIES ,Health Care,Hospital / 24-Hour Medical Facilities / Institutional,,,331
HEALTH_CARE: NURSING_HOME_ASSISTED_LIVING_RESIDENCE_ONSITE,True,HEALTH_CARE,NURSING_HOME_ASSISTED_LIVING_RESIDENCE_ONSITE,Health Care,Nursing Home / Assisted Living / Residence with Onsite care and support,,,"311, 321, 323, "
HEALTH_CARE: ALCOHOL_DRUG_REHABILITATION_CENTER,True,HEALTH_CARE,ALCOHOL_DRUG_REHABILITATION_CENTER,Health Care,Alcohol / Drug Rehabilitation Center,,,
RESIDENTIAL: CONGREGATE_HOUSING,True,RESIDENTIAL,CONGREGATE_HOUSING,Residential,Congregate Housing,,,"322, 439, 459, 460, 462"
RESIDENTIAL: MANUFACTURED_MOBILE_HOME,True,RESIDENTIAL,MANUFACTURED_MOBILE_HOME,Residential,Manufactured/Mobile Home,,,
RESIDENTIAL: DETATCHED_SINGLE_FAMILY_DWELLING,True,RESIDENTIAL,DETATCHED_SINGLE_FAMILY_DWELLING,Residential,Detached Single Family Dwelling,,,419
RESIDENTIAL: ATTACHED_SINGLE_FAMILY_DWELLING,True,RESIDENTIAL,ATTACHED_SINGLE_FAMILY_DWELLING,Residential,Attached Single Family Dwelling,,,
RESIDENTIAL: MULTI_FAMILY_LOWRISE_DWELLING,True,RESIDENTIAL,MULTI_FAMILY_LOWRISE_DWELLING,Residential,Multi-Family Lowrise Dwelling (<=4 Stories),,,429
RESIDENTIAL: MULTI_FAMILY_MIDRISE_DWELLING,True,RESIDENTIAL,MULTI_FAMILY_MIDRISE_DWELLING,Residential,Multi-Family Midrise Dwelling (5-8 Stories),,,429
RESIDENTIAL: MULTI_FAMILY_HIGHRISE_DWELLING,True,RESIDENTIAL,MULTI_FAMILY_HIGHRISE_DWELLING,Residential,Multi-Family Highrise Dwelling (>= 9 Stories),,,429
RESIDENTIAL: DETATCHED_GARAGE,True,RESIDENTIAL,DETATCHED_GARAGE,Residential,Detached Garage,,,808
RESIDENTIAL: UNHOUSED_TEMPORARY_SHELTER,True,RESIDENTIAL,UNHOUSED_TEMPORARY_SHELTER,Residential,Unhoused/Temporary Shelter,,,
RESIDENTIAL: TEMPORARY_LODGING_HOTEL_MOTEL,True,RESIDENTIAL,TEMPORARY_LODGING_HOTEL_MOTEL,Residential,Temporary Lodging / Hotel / Motel,,,449
UNCLASSIFIED: UNCLASSIFIED,True,UNCLASSIFIED,UNCLASSIFIED,Unclassified,Unclassified,,,
UTILITY_MISC: TRANSPORTATION_STATION_HUB_AREA,True,UTILITY_MISC,TRANSPORTATION_STATION_HUB_AREA,Utility and Misc,Transportation Station / Hub / Area (Airport / Bus / Train / Passenger Terminal,,,"974, 972, 973, 171, 173, 174, 632"
UTILITY_MISC: ENERGY_FACILITY_INFRASTRUCTURE,True,UTILITY_MISC,ENERGY_FACILITY_INFRASTRUCTURE,Utility and Misc,Energy Facility / Infrastructure,,,"610, 614, 615, 642, 644, 645,  983"
UTILITY_MISC: WATER_SANITATION_FACILITY_INFRASTRUCTURE,True,UTILITY_MISC,WATER_SANITATION_FACILITY_INFRASTRUCTURE,Utility and Misc,Water and Sanitation Facility / Infrastructure,,,647
UTILITY_MISC: TRASH_RECYCLING_FACILITY,True,UTILITY_MISC,TRASH_RECYCLING_FACILITY,Utility and Misc,Trash / Recycling Facility,,,648
STORAGE: STORAGE_PORTABLE_BUILDING,True,STORAGE,STORAGE_PORTABLE_BUILDING,Storage,Storage - Portable Building,,,
STORAGE: STORAGE_MULTI_TENANT,True,STORAGE,STORAGE_MULTI_TENANT,Storage,Storage - Multi-Tenant,,,
STORAGE: STORAGE_SINGLE_TENANT,True,STORAGE,STORAGE_SINGLE_TENANT,Storage,Storage -  Single-Tenant,,,
ROADWAY_ACCESS: SIDEWALK,True,ROADWAY_ACCESS,SIDEWALK,Roadway/Access,Sidewalk,,,
ROADWAY_ACCESS: STREET,True,ROADWAY_ACCESS,STREET,Roadway/Access,Street,,,"960, 962, 963"
ROADWAY_ACCESS: HIGHWAY_INTERSTATE,True,ROADWAY_ACCESS,HIGHWAY_INTERSTATE,Roadway/Access,Highway / Interstate ,,,961
ROADWAY_ACCESS: LIMITED_ACCESS_HIGHWAY_INTERSTATE,True,ROADWAY_ACCESS,LIMITED_ACCESS_HIGHWAY_INTERSTATE,Roadway/Access,Limited Access Highway / Interstate,,,
ROADWAY_ACCESS: BRIDGE,True,ROADWAY_ACCESS,BRIDGE,Roadway/Access,Bridge,,,921
ROADWAY_ACCESS: TUNNEL,True,ROADWAY_ACCESS,TUNNEL,Roadway/Access,Tunnel,,,922
ROADWAY_ACCESS: RAILROAD_RAILYARD,True,ROADWAY_ACCESS,RAILROAD_RAILYARD,Roadway/Access,Railroad or Railroad Yard,,,"951, 952"
ROADWAY_ACCESS: PARKING_LOT_GARAGE,True,ROADWAY_ACCESS,PARKING_LOT_GARAGE,Roadway/Access,Parking Lot / Parking Garage,,,"881, 882, 965"
OUTDOOR: GROUND_VACANT_LAND,True,OUTDOOR,GROUND_VACANT_LAND,Outdoor,Ground / Vacant Land,,,"931, 936 "
OUTDOOR: CAMP_SITE,True,OUTDOOR,CAMP_SITE,Outdoor,Camp Site,,,935
OUTDOOR: PLAYGROUND_PARK_RECREATIONAL_AREA,True,OUTDOOR,PLAYGROUND_PARK_RECREATIONAL_AREA,Outdoor,Playground / Park / Recreational Area / Monument / Statue,,,"110, 121, 124, 154"
OUTDOOR: HIKING_TRAIL,True,OUTDOOR,HIKING_TRAIL,Outdoor,Hiking Trail,,,
OUTDOOR: ORCHARD_CROPS_FARMLAND,True,OUTDOOR,ORCHARD_CROPS_FARMLAND,Outdoor,Orchard / Crops / Farm (non-building),,,655
OUTDOOR: FOREST_GRASSLANDS_WOODLAND_WILDLAND_AREAS,True,OUTDOOR,FOREST_GRASSLANDS_WOODLAND_WILDLAND_AREAS,Outdoor,Forest / Grasslands / Woodland / Wildland Area,,,669
OUTDOOR: WATERFRONT,True,OUTDOOR,WATERFRONT,Outdoor,Waterfront (Beach / Dock),,,"937, 143, 898, 940"
OUTDOOR: OPEN_WATER,True,OUTDOOR,OPEN_WATER,Outdoor,Open Water (Lake / River/ Pond / Ocean),,,"941, 946"
OUTDOOR_INDUSTRIAL: DUMP_LANDFILL,True,OUTDOOR_INDUSTRIAL,DUMP_LANDFILL,Outdoor Industrial,Dump / Landfill,,,919
OUTDOOR_INDUSTRIAL: INDUSTRIAL_YARD,True,OUTDOOR_INDUSTRIAL,INDUSTRIAL_YARD,Outdoor Industrial,Industrial Yard,,,984
OUTDOOR_INDUSTRIAL: MINE,True,OUTDOOR_INDUSTRIAL,MINE,Outdoor Industrial,Mine (non-building) / Oil Field,,,"679, 982"
OUTDOOR_INDUSTRIAL: CONSTRUCTION_SITE,True,OUTDOOR_INDUSTRIAL,CONSTRUCTION_SITE,Outdoor Industrial,Construction Site,,,981
